,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,observed,expectation
0,Female,0,Yes,No,0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,0,No,0.0,0.26578498293515357
1,Male,0,No,No,2,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,1,2,No,0.0,0.26578498293515357
2,Male,0,No,No,0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,1,0,Yes,1.0,0.26578498293515357
3,Male,0,No,No,3,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),1,2,No,0.0,0.26578498293515357
4,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,0,Yes,1.0,0.26578498293515357
5,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,4,1,Yes,1.0,0.26578498293515357
6,Male,0,No,Yes,2,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),3,2,No,0.0,0.26578498293515357
7,Female,0,No,No,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,1,1,No,0.0,0.26578498293515357
8,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,4,3,Yes,1.0,0.26578498293515357
9,Male,0,No,Yes,4,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),1,3,No,0.0,0.26578498293515357
10,Male,0,Yes,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,1,No,0.0,0.26578498293515357
11,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0,1,No,0.0,0.26578498293515357
12,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),4,4,No,0.0,0.26578498293515357
13,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),4,4,Yes,1.0,0.26578498293515357
14,Male,0,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,4,3,No,0.0,0.26578498293515357
15,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),4,4,No,0.0,0.26578498293515357
16,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0,2,No,0.0,0.26578498293515357
17,Male,0,No,Yes,4,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),4,4,No,0.0,0.26578498293515357
18,Female,0,Yes,Yes,1,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),1,1,Yes,1.0,0.26578498293515357
19,Female,0,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,3,2,No,0.0,0.26578498293515357
20,Male,1,No,No,0,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1,0,Yes,1.0,0.26578498293515357
21,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0,0,No,0.0,0.26578498293515357
22,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,0,Yes,1.0,0.26578498293515357
23,Female,0,Yes,No,3,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),2,3,No,0.0,0.26578498293515357
24,Male,0,Yes,Yes,3,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),2,3,No,0.0,0.26578498293515357
25,Female,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1,2,No,0.0,0.26578498293515357
26,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4,4,Yes,1.0,0.26578498293515357
27,Male,0,Yes,Yes,0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1,0,Yes,1.0,0.26578498293515357
28,Male,0,Yes,No,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),3,4,No,0.0,0.26578498293515357
29,Female,0,No,Yes,1,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,2,2,Yes,1.0,0.26578498293515357
30,Female,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),4,4,No,0.0,0.26578498293515357
31,Male,1,Yes,No,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),4,0,No,0.0,0.26578498293515357
32,Female,0,Yes,Yes,2,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,2,2,No,0.0,0.26578498293515357
33,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0,0,No,0.0,0.26578498293515357
34,Male,1,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,0,No,0.0,0.26578498293515357
35,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),4,4,No,0.0,0.26578498293515357
36,Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,1,Yes,1.0,0.26578498293515357
37,Female,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),2,3,No,0.0,0.26578498293515357
38,Male,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,4,3,Yes,1.0,0.26578498293515357
39,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),4,2,Yes,1.0,0.26578498293515357
40,Male,0,Yes,Yes,1,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,1,1,No,0.0,0.26578498293515357
41,Female,0,Yes,Yes,4,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),2,4,No,0.0,0.26578498293515357
42,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0,1,No,0.0,0.26578498293515357
43,Female,0,No,No,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),3,4,No,0.0,0.26578498293515357
44,Female,0,Yes,No,1,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,2,2,No,0.0,0.26578498293515357
45,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,3,3,No,0.0,0.26578498293515357
46,Male,0,No,No,0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,1,0,No,0.0,0.26578498293515357
47,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,3,0,Yes,1.0,0.26578498293515357
48,Male,0,No,No,3,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),3,3,No,0.0,0.26578498293515357
49,Female,0,Yes,Yes,4,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),2,3,No,0.0,0.26578498293515357
50,Female,1,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,3,3,No,0.0,0.26578498293515357
51,Female,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),4,2,Yes,1.0,0.26578498293515357
52,Female,1,Yes,No,2,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),2,2,No,0.0,0.26578498293515357
53,Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),3,1,Yes,1.0,0.26578498293515357
54,Female,1,Yes,Yes,3,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),2,3,No,0.0,0.26578498293515357
55,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4,2,Yes,1.0,0.26578498293515357
56,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),4,4,No,0.0,0.26578498293515357
57,Male,1,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,4,4,No,0.0,0.26578498293515357
58,Female,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0,1,No,0.0,0.26578498293515357
59,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),4,4,No,0.0,0.26578498293515357
60,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,4,4,No,0.0,0.26578498293515357
61,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),3,4,No,0.0,0.26578498293515357
62,Male,0,Yes,No,4,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),1,3,No,0.0,0.26578498293515357
63,Female,0,Yes,Yes,1,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),1,2,No,0.0,0.26578498293515357
64,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,4,1,Yes,1.0,0.26578498293515357
65,Female,0,No,No,0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2,0,No,0.0,0.26578498293515357
66,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,2,3,No,0.0,0.26578498293515357
67,Female,0,No,No,2,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,3,3,No,0.0,0.26578498293515357
68,Female,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0,1,No,0.0,0.26578498293515357
69,Male,0,No,No,1,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,3,1,No,0.0,0.26578498293515357
70,Male,0,No,No,0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,1,0,No,0.0,0.26578498293515357
71,Female,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,0,2,No,0.0,0.26578498293515357
72,Male,1,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),4,4,No,0.0,0.26578498293515357
73,Male,0,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0,2,No,0.0,0.26578498293515357
74,Female,0,No,Yes,0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),2,0,No,0.0,0.26578498293515357
75,Female,1,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,4,4,No,0.0,0.26578498293515357
76,Female,0,No,No,3,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),1,3,No,0.0,0.26578498293515357
77,Female,0,Yes,Yes,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,1,1,No,0.0,0.26578498293515357
78,Male,1,No,No,2,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2,3,No,0.0,0.26578498293515357
79,Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),1,2,No,0.0,0.26578498293515357
80,Female,0,No,Yes,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,3,0,Yes,1.0,0.26578498293515357
